Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
3437,7.90,0.18,0.37,3.00,0.06,25.00,178.00,0.99,3.22,0.51,10.00,6,White Wine
2167,7.00,0.55,0.13,2.20,0.07,15.00,35.00,1.00,3.36,0.59,9.70,6,Red Wine
3271,8.90,0.31,0.57,2.00,0.11,26.00,85.00,1.00,3.26,0.53,9.70,5,Red Wine
4335,6.20,0.35,0.29,7.30,0.04,56.00,244.00,1.00,3.36,0.55,10.00,6,White Wine
2742,7.50,0.26,0.59,11.80,0.05,58.00,164.00,1.00,3.17,0.46,8.90,4,White Wine
4704,6.90,0.29,0.25,12.20,0.04,29.00,136.00,1.00,3.05,0.65,10.40,6,White Wine
4452,6.10,0.38,0.42,5.00,0.02,31.00,113.00,0.99,3.15,0.31,12.40,7,White Wine
1874,6.00,0.19,0.71,1.50,0.15,9.00,55.00,0.99,3.12,0.46,9.80,6,White Wine
5630,6.90,0.32,0.26,2.30,0.03,11.00,103.00,0.99,3.06,0.42,11.10,6,White Wine
2309,6.60,0.26,0.46,7.80,0.05,48.00,186.00,1.00,3.20,0.54,9.10,5,White Wine
3366,5.80,0.27,0.22,12.70,0.06,42.00,206.00,0.99,3.32,0.38,12.30,6,White Wine
4545,7.00,0.17,0.37,5.70,0.03,29.00,111.00,0.99,3.20,0.49,10.80,6,White Wine
571,8.00,0.30,0.63,1.60,0.08,16.00,29.00,1.00,3.30,0.78,10.80,6,Red Wine
3748,7.30,0.23,0.41,14.60,0.05,73.00,223.00,1.00,3.16,0.71,9.40,6,White Wine
901,8.00,0.27,0.57,10.40,0.05,18.00,134.00,1.00,3.12,0.68,9.00,5,White Wine
6182,5.00,0.33,0.18,4.60,0.03,40.00,124.00,0.99,3.18,0.40,11.00,6,White Wine
3747,6.20,0.36,0.14,8.90,0.04,38.00,155.00,1.00,3.27,0.50,9.40,5,White Wine
6232,5.80,0.34,0.14,5.80,0.05,49.00,197.00,0.99,3.30,0.71,10.30,5,White Wine
5839,7.30,0.37,0.16,14.90,0.05,59.00,240.00,1.00,3.13,0.45,8.90,5,White Wine
1289,7.50,0.24,0.31,13.10,0.05,26.00,180.00,1.00,3.05,0.53,9.10,6,White Wine
4087,6.40,0.21,0.44,7.40,0.04,47.00,182.00,1.00,3.24,0.46,9.10,5,White Wine
3096,8.20,0.22,0.49,9.60,0.04,53.00,154.00,1.00,3.02,0.33,10.60,6,White Wine
1630,8.10,0.17,0.21,1.60,0.04,24.00,119.00,0.99,3.18,0.52,10.10,6,White Wine
3458,7.00,0.19,0.33,6.30,0.03,42.00,127.00,0.99,3.31,0.38,12.20,6,White Wine
3971,7.30,0.32,0.23,2.30,0.07,35.00,70.00,1.00,3.43,0.62,10.10,5,Red Wine
3661,7.00,0.44,0.24,12.10,0.06,68.00,210.00,1.00,3.05,0.50,9.50,5,White Wine
1291,6.90,0.32,0.30,1.80,0.04,28.00,117.00,0.99,3.24,0.48,11.00,6,White Wine
397,5.80,0.28,0.34,2.20,0.04,24.00,125.00,0.99,3.36,0.33,12.80,8,White Wine
2532,7.00,0.73,0.05,2.00,0.08,13.00,54.00,1.00,3.39,0.57,9.80,5,Red Wine
2129,5.90,0.21,0.31,1.80,0.03,45.00,142.00,0.99,3.35,0.50,12.70,6,White Wine
1178,10.00,0.49,0.20,11.00,0.07,13.00,50.00,1.00,3.16,0.69,9.20,6,Red Wine
1711,7.70,0.44,0.24,11.20,0.03,41.00,167.00,0.99,3.12,0.43,11.30,7,White Wine
5730,6.50,0.28,0.28,8.50,0.05,54.00,210.00,1.00,3.09,0.54,8.90,4,White Wine
5653,6.50,0.23,0.25,17.30,0.05,15.00,110.00,1.00,3.15,0.42,9.20,6,White Wine
5802,7.30,0.21,0.29,1.60,0.03,29.00,118.00,0.99,3.30,0.50,11.00,8,White Wine
1169,6.70,0.28,0.28,2.40,0.01,36.00,100.00,0.99,3.26,0.39,11.70,7,Red Wine
4709,5.60,0.33,0.28,1.20,0.03,33.00,97.00,0.99,3.49,0.58,10.90,6,White Wine
4057,6.60,0.38,0.36,9.20,0.06,42.00,214.00,1.00,3.31,0.56,9.40,5,White Wine
3316,6.20,0.20,0.31,1.00,0.03,22.00,73.00,0.99,3.24,0.52,11.30,6,White Wine
183,11.60,0.53,0.66,3.65,0.12,6.00,14.00,1.00,3.05,0.74,11.50,7,Red Wine
3268,8.40,0.58,0.27,12.15,0.03,37.00,116.00,1.00,2.99,0.39,10.80,6,White Wine
4207,7.60,0.73,0.02,2.50,0.07,10.00,14.00,1.00,3.51,0.71,11.70,7,Red Wine
2827,8.20,0.28,0.60,3.00,0.10,10.00,22.00,1.00,3.39,0.68,10.60,5,Red Wine
4066,7.00,0.69,0.07,2.50,0.09,15.00,21.00,1.00,3.38,0.60,11.30,6,Red Wine
6241,7.70,0.25,0.43,4.50,0.06,20.00,115.00,1.00,3.38,0.50,9.90,6,White Wine
2286,6.70,0.26,0.49,8.30,0.05,54.00,191.00,1.00,3.23,0.40,10.30,6,White Wine
5131,6.90,0.38,0.25,9.80,0.04,28.00,191.00,1.00,3.28,0.61,9.20,5,White Wine
5657,5.90,0.25,0.24,7.40,0.04,21.00,113.00,0.99,3.38,0.58,10.50,6,White Wine
5217,6.40,0.26,0.49,6.40,0.04,37.00,161.00,1.00,3.38,0.53,9.70,6,White Wine
5471,4.80,0.26,0.23,10.60,0.03,23.00,111.00,0.99,3.46,0.28,11.50,7,White Wine
2822,7.40,0.61,0.01,2.00,0.07,13.00,38.00,1.00,3.48,0.65,9.80,5,Red Wine
2541,6.90,0.30,0.25,3.30,0.04,26.00,124.00,0.99,3.18,0.50,9.30,6,White Wine
2598,7.00,0.32,0.35,1.50,0.04,24.00,125.00,0.99,3.17,0.64,12.20,6,White Wine
4147,8.60,0.52,0.38,1.50,0.10,5.00,18.00,1.00,3.20,0.52,9.40,5,Red Wine
3802,6.60,0.44,0.15,2.10,0.08,22.00,53.00,1.00,3.32,0.62,9.30,5,Red Wine
4867,9.20,0.14,0.37,1.10,0.03,36.00,84.00,0.99,3.05,0.55,11.60,6,White Wine
1882,8.10,0.20,0.36,9.70,0.04,63.00,162.00,1.00,3.10,0.46,10.00,6,White Wine
4526,6.00,0.33,0.26,5.10,0.05,16.00,119.00,0.99,3.15,0.41,9.20,5,White Wine
4866,9.70,0.31,0.47,1.60,0.06,13.00,33.00,1.00,3.27,0.66,10.00,6,Red Wine
645,6.00,0.13,0.28,5.70,0.04,56.00,189.50,0.99,3.59,0.43,10.60,7,White Wine
5497,6.60,0.78,0.50,1.50,0.04,30.00,133.00,0.99,3.25,0.48,11.70,5,White Wine
4039,7.30,0.24,0.34,15.40,0.05,38.00,174.00,1.00,3.03,0.42,9.00,6,White Wine
1443,8.30,0.33,0.43,9.20,0.05,22.00,126.00,1.00,3.38,0.47,9.30,5,White Wine
6324,8.00,0.32,0.36,4.60,0.04,56.00,178.00,0.99,3.29,0.47,12.00,6,White Wine
5479,7.00,0.81,0.00,2.50,0.07,7.00,20.00,1.00,3.48,0.56,9.60,5,Red Wine
6407,6.60,0.29,0.31,3.90,0.03,39.00,96.00,0.99,3.24,0.60,12.60,8,White Wine
2739,6.70,0.16,0.32,12.50,0.04,18.00,156.00,1.00,2.88,0.36,9.00,6,White Wine
3430,6.30,0.30,0.91,8.20,0.03,50.00,199.00,0.99,3.39,0.49,11.70,6,White Wine
761,6.80,0.23,0.42,7.40,0.04,56.00,189.00,1.00,3.22,0.48,9.30,6,White Wine
947,8.50,0.44,0.50,1.90,0.37,15.00,38.00,1.00,3.01,1.10,9.40,5,Red Wine
3997,7.30,0.23,0.34,9.30,0.05,19.00,86.00,1.00,3.04,0.56,10.00,5,White Wine
4791,8.60,0.47,0.47,2.40,0.07,7.00,29.00,1.00,3.08,0.46,9.50,5,Red Wine
625,5.80,0.41,0.13,1.40,0.04,11.00,64.00,0.99,3.29,0.52,10.50,5,White Wine
395,8.00,0.30,0.49,9.40,0.05,47.00,188.00,1.00,3.14,0.48,10.00,5,White Wine
2499,7.20,0.26,0.26,12.70,0.04,49.00,214.00,1.00,3.41,0.50,10.00,6,White Wine
5837,8.30,0.76,0.29,4.20,0.07,12.00,16.00,1.00,3.45,0.68,11.50,6,Red Wine
3962,8.00,0.27,0.33,1.20,0.05,41.00,103.00,0.99,3.00,0.45,12.40,6,White Wine
3383,5.70,0.22,0.25,1.10,0.05,97.00,175.00,0.99,3.44,0.62,11.10,6,White Wine
2555,6.00,0.35,0.46,0.90,0.03,9.00,65.00,0.99,3.24,0.35,12.10,4,White Wine
5956,6.30,0.16,0.22,1.30,0.05,18.00,66.00,0.99,3.61,0.55,10.30,6,White Wine
3189,6.90,0.63,0.33,6.70,0.23,66.00,115.00,1.00,3.22,0.56,9.50,5,Red Wine
5305,7.00,0.48,0.12,4.50,0.05,23.00,86.00,0.99,2.86,0.35,9.00,5,White Wine
6493,5.80,0.24,0.39,1.50,0.05,37.00,158.00,0.99,3.21,0.52,9.30,6,White Wine
5003,8.50,0.23,0.34,1.30,0.04,54.00,110.00,0.99,3.07,0.55,11.00,7,White Wine
3308,7.50,0.71,0.00,1.60,0.09,22.00,31.00,1.00,3.38,0.58,10.00,6,Red Wine
165,8.80,0.61,0.14,2.40,0.07,10.00,42.00,1.00,3.19,0.59,9.50,5,Red Wine
1415,6.80,0.32,0.30,1.00,0.05,22.00,113.00,0.99,3.24,0.61,10.20,5,White Wine
1821,8.90,0.24,0.33,15.75,0.04,16.00,132.00,1.00,3.00,0.37,12.10,6,White Wine
1102,9.20,0.34,0.54,17.30,0.06,46.00,235.00,1.00,3.08,0.61,8.80,6,White Wine
3851,6.00,0.28,0.22,12.15,0.05,42.00,163.00,1.00,3.20,0.46,10.10,5,White Wine
3017,10.00,0.59,0.31,2.20,0.09,26.00,62.00,1.00,3.18,0.63,10.20,6,Red Wine
523,6.70,0.35,0.48,8.80,0.06,35.00,167.00,1.00,3.04,0.47,9.40,5,White Wine
103,7.40,0.28,0.50,12.10,0.05,48.00,122.00,1.00,3.01,0.44,9.00,5,White Wine
5823,8.20,0.34,0.37,1.90,0.06,43.00,74.00,0.99,3.23,0.81,12.00,6,Red Wine
699,7.40,0.25,0.49,1.10,0.04,35.00,156.00,0.99,3.13,0.55,11.30,5,White Wine
6034,7.40,0.18,0.36,13.10,0.06,72.00,163.00,1.00,3.42,0.35,9.10,6,White Wine
3765,8.30,0.23,0.43,3.20,0.04,14.00,101.00,0.99,3.15,0.36,11.50,5,White Wine
5404,8.50,0.19,0.48,1.10,0.03,23.00,58.00,0.99,2.90,0.50,10.50,6,White Wine
448,7.10,0.39,0.39,11.10,0.03,25.00,204.00,1.00,3.05,0.52,10.00,6,White Wine
4949,6.70,0.21,0.34,1.50,0.04,45.00,123.00,0.99,3.24,0.36,12.60,7,White Wine
3800,6.60,0.39,0.22,4.00,0.04,17.00,98.00,0.99,3.25,0.53,13.00,7,White Wine
5705,6.80,0.31,0.19,3.50,0.09,30.00,130.00,0.99,2.83,0.44,9.60,5,White Wine
3467,5.60,0.62,0.03,1.50,0.08,6.00,13.00,0.99,3.66,0.62,10.10,4,Red Wine
2524,5.20,0.18,0.22,1.00,0.03,47.00,123.00,0.99,3.55,0.44,10.15,6,White Wine
6067,7.00,0.11,0.32,4.60,0.06,59.00,144.00,1.00,3.55,0.44,9.40,7,White Wine
4535,6.80,0.92,0.29,4.80,0.07,15.00,39.00,1.00,3.53,0.54,11.10,5,Red Wine
3087,7.30,0.28,0.36,12.70,0.04,38.00,140.00,1.00,3.30,0.79,9.60,6,White Wine
131,10.50,0.36,0.47,2.20,0.07,9.00,23.00,1.00,3.23,0.76,12.00,6,Red Wine
2520,6.00,0.29,0.41,10.80,0.05,55.00,149.00,0.99,3.09,0.59,10.97,7,White Wine
213,6.60,0.26,0.27,11.80,0.05,28.00,112.00,1.00,2.87,0.49,9.70,6,White Wine
3356,6.40,0.43,0.27,1.10,0.05,5.00,110.00,0.99,3.24,0.52,9.10,4,White Wine
3797,6.90,0.23,0.24,14.20,0.05,19.00,94.00,1.00,3.17,0.50,9.60,5,White Wine
1614,7.50,0.63,0.12,5.10,0.11,50.00,110.00,1.00,3.26,0.77,9.40,5,Red Wine
2927,6.80,0.24,0.38,8.30,0.04,50.00,185.00,1.00,3.15,0.50,9.50,6,White Wine
833,7.00,0.16,0.32,8.30,0.04,38.00,126.00,1.00,3.21,0.34,9.20,5,White Wine
4940,5.60,0.25,0.26,3.60,0.04,18.00,115.00,0.99,3.42,0.50,12.60,6,White Wine
1383,7.70,0.18,0.35,5.80,0.06,25.00,144.00,1.00,3.24,0.54,10.20,6,White Wine
5899,7.40,0.15,0.34,2.30,0.04,73.50,214.00,0.99,3.18,0.61,9.90,7,White Wine
858,6.90,0.48,0.20,1.90,0.08,9.00,23.00,1.00,3.39,0.43,9.05,4,Red Wine
5538,6.30,0.23,0.22,3.75,0.04,37.00,116.00,0.99,3.23,0.50,10.70,6,White Wine
6017,6.00,0.31,0.27,2.30,0.04,19.00,120.00,0.99,3.32,0.41,12.70,7,White Wine
3070,6.00,0.27,0.26,1.30,0.04,32.00,138.00,0.99,3.46,0.43,11.10,6,White Wine
656,8.50,0.18,0.51,1.75,0.07,45.00,88.00,1.00,3.33,0.76,11.80,7,Red Wine
3329,5.50,0.14,0.27,4.60,0.03,22.00,104.00,0.99,3.34,0.44,9.00,5,White Wine
2576,6.40,0.26,0.21,7.10,0.04,35.00,162.00,1.00,3.39,0.58,9.90,6,White Wine
2593,5.80,0.31,0.31,7.50,0.05,55.00,230.00,0.99,3.19,0.46,9.80,5,White Wine
3105,7.30,0.74,0.08,1.70,0.09,10.00,45.00,1.00,3.24,0.50,9.80,5,Red Wine
1510,7.20,0.27,0.28,15.20,0.05,6.00,41.00,1.00,3.17,0.39,10.90,6,White Wine
808,8.10,0.33,0.44,1.50,0.04,6.00,12.00,1.00,3.35,0.61,10.70,5,Red Wine
2376,7.50,0.30,0.32,1.40,0.03,31.00,161.00,0.99,2.95,0.42,10.50,5,White Wine
2253,8.90,0.48,0.53,4.00,0.10,3.00,10.00,1.00,3.21,0.59,12.10,7,Red Wine
1130,8.00,0.37,0.31,4.70,0.04,3.00,127.00,0.99,2.90,0.72,12.10,5,White Wine
1440,5.20,0.37,0.33,1.20,0.03,13.00,81.00,0.99,3.37,0.38,11.70,6,White Wine
5015,8.00,0.64,0.22,2.40,0.09,5.00,33.00,1.00,3.37,0.58,11.00,5,Red Wine
324,7.20,0.23,0.38,14.30,0.06,55.00,194.00,1.00,3.09,0.44,9.00,6,White Wine
5535,5.80,0.30,0.27,1.70,0.01,45.00,104.00,0.99,3.40,0.56,12.60,7,White Wine
662,8.90,0.13,0.49,1.00,0.03,6.00,24.00,0.99,2.91,0.32,9.90,5,White Wine
79,8.80,0.61,0.19,4.00,0.09,30.00,69.00,1.00,3.22,0.50,10.00,6,Red Wine
83,7.60,0.49,0.33,1.90,0.07,27.00,85.00,1.00,3.41,0.58,9.00,5,Red Wine
2733,8.00,0.26,0.36,2.00,0.05,30.00,121.00,0.99,3.09,0.72,11.60,7,White Wine
5130,7.30,0.24,0.29,1.20,0.04,37.00,97.00,0.99,3.19,0.70,10.10,6,White Wine
5620,5.70,0.25,0.27,10.80,0.05,58.00,116.00,1.00,3.10,0.50,9.80,6,White Wine
3142,6.00,0.23,0.34,1.30,0.03,23.00,111.00,0.99,3.36,0.37,12.70,6,White Wine
6165,6.00,0.33,0.38,9.70,0.04,29.00,124.00,1.00,3.47,0.48,11.00,6,White Wine
3806,7.40,0.26,0.43,6.00,0.02,22.00,125.00,0.99,3.13,0.55,11.50,6,White Wine
1360,6.80,0.16,0.40,2.30,0.04,18.00,102.00,0.99,3.49,0.42,11.40,7,White Wine
5440,6.40,0.22,0.34,1.80,0.06,29.00,104.00,1.00,3.81,0.57,10.30,6,White Wine
1153,8.90,0.34,0.34,1.60,0.06,13.00,176.00,0.99,3.14,0.47,9.70,5,White Wine
1842,8.80,0.27,0.39,2.00,0.10,20.00,27.00,1.00,3.15,0.69,11.20,6,Red Wine
363,6.20,0.56,0.09,1.70,0.05,24.00,32.00,0.99,3.54,0.60,11.30,5,Red Wine
5115,6.00,0.23,0.15,9.70,0.05,101.00,207.00,1.00,3.05,0.30,9.10,5,White Wine
4562,7.40,0.23,0.43,1.40,0.04,22.00,113.00,0.99,3.22,0.62,10.60,6,White Wine
2386,6.50,0.31,0.61,13.00,0.05,31.00,123.00,1.00,3.09,0.50,9.30,6,White Wine
697,7.60,0.39,0.31,2.30,0.08,23.00,71.00,1.00,3.52,0.65,9.70,5,Red Wine
3478,7.10,0.73,0.16,1.90,0.10,15.00,77.00,1.00,3.27,0.64,9.30,5,Red Wine
911,7.00,0.22,0.29,8.90,0.05,24.00,90.00,1.00,3.29,0.46,9.80,6,White Wine
3399,10.70,0.40,0.37,1.90,0.08,17.00,29.00,1.00,3.12,0.65,11.20,6,Red Wine
5403,5.70,0.21,0.25,1.10,0.04,26.00,81.00,0.99,3.31,0.52,11.40,6,White Wine
4409,9.40,0.40,0.31,2.20,0.09,13.00,62.00,1.00,3.07,0.63,10.50,6,Red Wine
2874,7.30,0.19,0.27,13.90,0.06,45.00,155.00,1.00,2.94,0.41,8.80,8,White Wine
6092,7.10,0.27,0.24,12.60,0.04,48.00,118.00,1.00,3.04,0.56,10.00,7,White Wine
2317,7.40,0.25,0.37,13.50,0.06,52.00,192.00,1.00,3.00,0.44,9.10,5,White Wine
78,5.20,0.28,0.29,5.15,0.04,64.00,138.00,0.99,3.19,0.34,12.40,8,White Wine
5703,7.50,0.35,0.37,2.50,0.07,29.00,89.00,0.99,3.14,0.42,12.70,6,White Wine
5815,5.70,0.22,0.22,16.65,0.04,39.00,110.00,1.00,3.24,0.48,9.00,6,White Wine
3372,6.60,0.23,0.30,14.90,0.05,33.00,118.00,1.00,3.04,0.54,9.00,6,White Wine
6379,6.10,0.28,0.25,12.90,0.05,34.00,189.00,1.00,3.25,0.43,9.00,4,White Wine
3163,8.40,0.36,0.32,2.20,0.08,32.00,79.00,1.00,3.30,0.72,11.00,6,Red Wine
6188,6.10,0.16,0.24,1.40,0.05,17.00,77.00,0.99,3.66,0.57,10.30,6,White Wine
2045,6.90,0.24,0.34,4.70,0.04,43.00,161.00,0.99,3.20,0.59,10.60,6,White Wine
1623,5.30,0.17,0.24,1.10,0.05,25.00,105.00,0.99,3.32,0.47,9.10,5,White Wine
6091,6.60,0.24,0.28,1.80,0.03,39.00,132.00,0.99,3.34,0.46,11.40,5,White Wine
1613,6.60,0.22,0.37,1.20,0.06,45.00,199.00,0.99,3.37,0.55,10.30,7,White Wine
510,6.10,0.38,0.14,3.90,0.06,27.00,113.00,0.99,3.07,0.34,9.20,4,White Wine
5727,7.00,0.24,0.30,4.20,0.04,41.00,213.00,0.99,3.28,0.49,11.80,6,White Wine
4206,7.80,0.60,0.26,2.00,0.08,31.00,131.00,1.00,3.21,0.52,9.90,5,Red Wine
4636,6.80,0.21,0.42,1.20,0.04,24.00,126.00,0.99,3.09,0.87,10.90,6,White Wine
5825,6.50,0.33,0.30,3.80,0.04,34.00,88.00,0.99,3.25,0.63,12.50,7,White Wine
2097,9.60,0.23,0.40,1.50,0.04,19.00,135.00,0.99,2.96,0.49,10.90,5,White Wine
5041,7.60,0.31,0.27,8.80,0.02,57.00,156.00,0.99,3.08,0.38,11.00,7,White Wine
1498,5.40,0.33,0.31,4.00,0.03,27.00,108.00,0.99,3.30,0.43,12.20,7,White Wine
1776,10.20,0.36,0.64,2.90,0.12,10.00,41.00,1.00,3.23,0.66,12.50,6,Red Wine
1218,6.20,0.22,0.49,6.00,0.03,31.00,128.00,0.99,3.41,0.36,11.30,8,White Wine
2321,6.30,0.22,0.33,1.70,0.04,67.00,164.00,0.99,3.32,0.56,10.40,6,White Wine
1344,5.90,0.29,0.28,3.20,0.04,16.00,117.00,0.99,3.26,0.42,12.60,6,White Wine
236,7.20,0.24,0.30,1.20,0.04,11.00,95.00,0.99,2.96,0.36,12.50,6,White Wine
4758,6.60,0.17,0.26,7.40,0.05,45.00,128.00,0.99,3.16,0.37,10.00,6,White Wine
6218,7.00,0.16,0.26,6.85,0.05,30.00,220.00,1.00,3.38,0.58,10.10,6,White Wine
3752,6.20,0.38,0.42,2.50,0.04,34.00,117.00,0.99,3.36,0.59,11.60,7,White Wine
3062,6.10,0.22,0.31,1.40,0.04,40.00,129.00,0.99,3.45,0.59,10.90,5,White Wine
373,6.70,0.11,0.26,14.80,0.05,44.00,95.00,1.00,3.20,0.35,9.80,6,White Wine
3232,6.70,0.33,0.34,6.60,0.07,35.00,156.00,1.00,3.11,0.48,9.30,6,White Wine
2474,6.40,0.33,0.44,8.90,0.06,52.00,164.00,0.99,3.10,0.48,9.60,5,White Wine
1407,7.80,0.28,0.32,9.00,0.04,34.00,115.00,1.00,3.17,0.39,10.30,7,White Wine
611,5.90,0.61,0.08,2.10,0.07,16.00,24.00,0.99,3.56,0.77,11.10,6,Red Wine
5929,8.90,0.33,0.32,1.50,0.05,11.00,200.00,1.00,3.19,0.46,9.40,5,White Wine
3995,6.90,0.22,0.32,5.80,0.04,20.00,119.00,0.99,3.17,0.55,11.20,6,White Wine
5883,7.00,0.61,0.26,1.70,0.05,25.00,161.00,0.99,3.36,0.60,10.60,4,White Wine
2352,6.90,0.19,0.32,7.90,0.04,30.00,130.00,0.99,3.40,0.39,10.50,6,White Wine
5503,7.20,0.72,0.05,4.65,0.09,4.00,11.00,1.00,3.41,0.39,10.90,5,Red Wine
1674,6.10,0.60,0.12,1.80,0.05,11.00,76.00,0.99,3.42,0.48,10.40,4,White Wine
1297,6.00,0.20,0.26,6.80,0.05,22.00,93.00,0.99,3.15,0.42,11.00,6,White Wine
5726,7.40,0.27,0.48,1.10,0.05,17.00,132.00,0.99,3.19,0.49,11.60,6,White Wine
4567,7.10,0.38,0.42,11.80,0.04,32.00,193.00,1.00,3.04,0.49,10.00,6,White Wine
2333,7.20,0.31,0.35,7.20,0.05,45.00,178.00,1.00,3.14,0.53,9.70,5,White Wine
4710,8.30,0.62,0.20,1.50,0.08,27.00,119.00,1.00,3.16,1.12,9.10,4,Red Wine
1659,7.60,0.19,0.42,1.50,0.04,6.00,114.00,0.99,3.04,0.74,12.80,6,White Wine
5323,8.20,1.00,0.09,2.30,0.07,7.00,37.00,1.00,3.32,0.55,9.00,6,Red Wine
4546,6.90,0.28,0.37,9.10,0.04,16.00,76.00,0.99,3.05,0.54,11.10,5,White Wine
3549,8.10,0.20,0.40,2.00,0.04,19.00,87.00,0.99,3.12,0.54,11.20,6,White Wine
2695,6.90,0.52,0.54,7.90,0.04,23.00,169.00,0.99,3.26,0.47,12.20,6,White Wine
6388,6.40,0.34,0.10,1.10,0.05,19.00,84.00,0.99,3.21,0.38,9.80,5,White Wine
3543,6.50,0.35,0.31,10.20,0.07,58.00,170.00,1.00,3.18,0.49,9.40,5,White Wine
6080,7.40,0.20,0.28,9.10,0.05,29.00,95.00,1.00,3.16,0.47,9.80,7,White Wine
6128,6.20,0.45,0.26,4.40,0.06,63.00,206.00,0.99,3.27,0.52,9.80,4,White Wine
4497,7.70,0.18,0.30,1.20,0.05,49.00,199.00,0.99,3.03,0.38,9.30,5,White Wine
5800,5.40,0.83,0.08,1.20,0.05,13.00,93.00,0.99,3.57,0.85,13.00,7,Red Wine
243,7.40,0.31,0.48,14.20,0.04,62.00,204.00,1.00,3.06,0.59,9.40,5,White Wine
2581,6.40,0.21,0.21,5.10,0.10,21.00,105.00,0.99,3.07,0.46,9.60,5,White Wine
6042,6.90,0.31,0.34,1.60,0.03,23.00,128.00,0.99,3.37,0.47,11.70,6,White Wine
3215,7.60,0.14,0.74,1.60,0.04,27.00,103.00,0.99,3.07,0.40,10.80,7,White Wine
2800,6.80,0.61,0.20,1.80,0.08,11.00,65.00,1.00,3.54,0.58,9.30,5,Red Wine
5905,6.80,0.25,0.29,2.00,0.04,19.00,189.00,1.00,3.46,0.54,10.20,6,White Wine
6410,6.40,0.24,0.26,8.20,0.05,47.00,182.00,1.00,3.12,0.50,9.50,5,White Wine
1681,6.20,0.27,0.32,6.30,0.05,47.00,159.00,0.99,3.21,0.60,11.00,6,White Wine
6275,5.80,0.23,0.20,2.00,0.04,39.00,154.00,0.99,3.21,0.39,10.20,6,White Wine
3047,6.80,0.23,0.30,1.70,0.04,19.00,95.00,0.99,3.17,0.46,10.70,7,White Wine
2503,6.00,0.11,0.47,10.60,0.05,69.00,148.00,1.00,2.91,0.34,9.30,4,White Wine
4560,7.30,0.27,0.39,6.70,0.06,28.00,188.00,1.00,3.29,0.30,9.70,5,White Wine
3716,7.30,0.28,0.37,1.20,0.04,26.00,99.00,0.99,3.01,0.62,10.80,5,White Wine
445,7.70,0.30,0.23,2.00,0.07,28.00,138.00,0.99,3.11,0.62,9.80,5,White Wine
5978,6.70,0.64,0.23,2.10,0.08,11.00,119.00,1.00,3.36,0.70,10.90,5,Red Wine
1124,5.80,0.30,0.23,1.50,0.03,37.00,121.00,0.99,2.96,0.34,12.10,6,White Wine
4128,6.30,0.34,0.19,5.80,0.04,22.00,145.00,0.99,3.15,0.63,9.90,5,White Wine
3153,7.90,0.30,0.68,8.30,0.05,37.50,278.00,0.99,3.01,0.51,12.30,7,Red Wine
1655,7.10,0.33,0.64,13.20,0.06,12.00,105.00,1.00,3.05,0.39,9.20,5,White Wine
2422,7.80,0.48,0.68,1.70,0.41,14.00,32.00,1.00,3.09,1.06,9.10,6,Red Wine
1781,8.50,0.16,0.35,1.60,0.04,24.00,147.00,0.99,2.96,0.36,10.00,5,White Wine
1307,6.80,0.67,0.15,1.80,0.12,13.00,20.00,1.00,3.42,0.67,11.30,6,Red Wine
5171,9.80,1.24,0.34,2.00,0.08,32.00,151.00,1.00,3.15,0.53,9.50,5,Red Wine
5710,9.20,0.56,0.18,1.60,0.08,10.00,21.00,1.00,3.15,0.49,9.90,5,Red Wine
5718,8.70,0.23,0.32,13.40,0.04,35.00,169.00,1.00,3.12,0.47,8.80,7,White Wine
1631,5.50,0.19,0.27,0.90,0.04,52.00,103.00,0.99,3.50,0.39,11.20,5,White Wine
2056,8.20,0.23,0.29,1.80,0.05,47.00,187.00,0.99,3.13,0.50,10.20,6,White Wine
3384,6.90,0.19,0.35,1.70,0.04,33.00,101.00,0.99,3.21,0.54,10.80,7,White Wine
2015,7.20,0.31,0.24,1.40,0.06,17.00,117.00,0.99,3.16,0.35,10.50,5,White Wine
186,6.20,0.29,0.29,5.60,0.05,35.00,178.00,0.99,3.25,0.51,10.53,5,White Wine
6015,6.70,0.24,0.46,2.20,0.03,19.00,111.00,0.99,3.10,0.62,11.90,6,White Wine
3966,7.10,0.13,0.38,1.80,0.05,14.00,114.00,0.99,3.32,0.90,11.70,6,White Wine
4049,10.50,0.24,0.47,2.10,0.07,6.00,24.00,1.00,3.15,0.90,11.00,7,Red Wine
5596,6.70,0.31,0.33,2.00,0.03,12.00,74.00,0.99,3.29,0.65,12.50,6,White Wine
2159,9.10,0.40,0.50,1.80,0.07,7.00,16.00,0.99,3.21,0.69,12.50,8,Red Wine
5691,11.30,0.34,0.45,2.00,0.08,6.00,15.00,1.00,2.94,0.66,9.20,6,Red Wine
4343,7.00,0.66,0.16,2.10,0.07,8.00,25.00,1.00,3.37,0.55,9.70,5,Red Wine
1004,12.00,0.39,0.66,3.00,0.09,12.00,30.00,1.00,3.18,0.63,10.80,7,Red Wine
5127,7.30,0.69,0.00,2.50,0.07,3.00,13.00,1.00,3.49,0.52,9.20,5,Red Wine
5408,6.20,0.39,0.24,4.80,0.04,45.00,138.00,0.99,3.23,0.43,11.20,7,White Wine
